6.32																						
10.55	3.35																					
19.19	0.57	528.74																				
17.2	10.24	4.57	9.03																			
0.44	33.95	16.1	0.93	0.48																		
16.84	2.54	2.12	995.35	11.86	102.71																	
17.71	19.07	0.26	10.38	2.68	0.11	53.78																
79.92	119.8	337.27	5.51	231.83	690.54	1.36	8.08															
0.57	7.3 	4.23	0.29	1.92	0.49	2.37	0.07	1.33														
2.18	1.91	0.07	0.07	7.3	    13.06	0.15	0.12	163.34	104.13													
1.31	1121.9	37.04	0.16	0.07	27.74	49.82	0.2	    80.21	5.72	0.23												
1.02	8.77	1.3	    0.07	4.03	0.07	1.26	0.36	0.07	318.75	161.89	23.06											
6.76	0.07	0.53	0.07	11.29	0.07	0.07	0.35	9.56	21.11	96.13	0.07	5.85										
78.87	3.49	0.34	1.9	    4.05	22.17	0.41	0.08	258.01	0.22	37.55	0.07	1.24	0.07									
591.8	44.14	2744.87	10.21	1158.6	69.86	59.15	78.82	1457.3	12.1	164.73	18.26	6.23	101.04	929.6								
368.98	3.51	35.4	2.06	2.01	2.56	13.35	0.45	20.63	40.82	2.16	28.55	12.67	0.67	32.8	1162.32							
0.58	10.78	0.07	0.07	11.48	0.42	0.67	1.26	0.07	0.07	2.65	0.07	1.98	0.62	0.22	8.74	0.2						
4.38	0.07	43.1	8.55	298.72	2.15	2.5	    0.32	1841.14	0.57	1.02	0.07	0.07	182.38	0.07	133.54	0.07	12.13					
294.95	1.81	0.14	1.92	3.11	0.29	10.41	4.81	0.07	684.17	41.79	0.85	28.45	35.39	0.07	31.2	26.2	0.07	0.07				
																																												
0.031 0.038 0.038 0.045 0.02 0.059 0.039 0.13 0.007 0.127 0.111 0.066 0.02 0.02 0.063 0.004 0.081 0.02 0.01 0.07																								


//A   R   N   D   C   Q   E   G   H   I   L   K   M   F   P   S   T   W   Y   V
//Ala Arg Asn Asp Cys Gln Glu Gly His Ile Leu Lys Met Phe Pro Ser Thr Trp Tyr Val
